total electricity,total heat,,,,,,
0.484716724,4.739013242,,,,,,
0.45128033,5.215674731,,,,,,
0.443156342,5.534539158,,,,,,
0.445142155,5.748342484,,,,,,
0.452275945,5.983462098,,,,,,
0.481537386,6.265667459,,,,,,
0.578128099,6.574759702,,,,,,
0.730410817,7.115602547,,,,,,
0.699807565,6.544306596,,,,,,
0.61651233,5.934820077,,,,,,
0.624648609,6.034205326,,,,,,
0.582714404,4.678740199,,,,,,
0.529892432,3.517664481,,,,,,
0.498792067,3.016738882,,,,,,
0.487847997,2.750760063,,,,,,
0.51709256,2.753474222,,,,,,
0.63491114,2.978099655,,,,,,
0.881547602,4.157098107,,,,,,
0.990844491,3.784648557,,,,,,
0.974086819,3.766427626,,,,,,
0.918288457,3.890564348,,,,,,
0.85923628,4.080285269,,,,,,
0.732890396,4.275167009,,,,,,
0.605159401,4.461788474,,,,,,
0.476838799,4.6099393,,,,,,
0.432399168,4.780741428,,,,,,
0.417709849,4.918655566,,,,,,
0.41538553,5.00814315,,,,,,
0.415980338,5.089658009,,,,,,
0.439152614,5.220744401,,,,,,
0.527397853,5.369123791,,,,,,
0.671603232,5.821551702,,,,,,
0.642048453,5.409728238,,,,,,
0.571544231,5.280451646,,,,,,
0.601930634,6.021889316,,,,,,
0.575534188,5.087079754,,,,,,
0.550087342,4.567925832,,,,,,
0.528360137,4.258161598,,,,,,
0.524162666,4.112120622,,,,,,
0.548785842,3.973232806,,,,,,
0.656555592,3.92344256,,,,,,
0.888771894,4.723782484,,,,,,
0.985461124,4.007357043,,,,,,
0.958195456,3.716113498,,,,,,
0.893505392,3.625511449,,,,,,
0.826262705,3.62627101,,,,,,
0.69616658,3.64855747,,,,,,
0.568511525,3.697807638,,,,,,
0.443220307,3.759266742,,,,,,
0.395339492,3.842956448,,,,,,
0.37779877,3.90870412,,,,,,
0.372766572,3.929678304,,,,,,
0.371811411,3.971977407,,,,,,
0.392909254,4.050649343,,,,,,
0.478967447,4.143832857,,,,,,
0.617744954,4.458970079,,,,,,
0.596658274,4.261417136,,,,,,
0.536300976,4.388831552,,,,,,
0.563652655,5.053462866,,,,,,
0.548114547,4.393365537,,,,,,
0.535028312,4.187027166,,,,,,
0.51691434,3.968668874,,,,,,
0.51300144,3.829810473,,,,,,
0.54167484,3.793418685,,,,,,
0.649120723,3.73545624,,,,,,
0.842925623,3.563919572,,,,,,
0.988885097,4.094267446,,,,,,
0.946066957,3.409365483,,,,,,
0.875368921,3.166791745,,,,,,
0.804985899,3.088087626,,,,,,
0.674363931,3.096992247,,,,,,
0.546092218,3.130572554,,,,,,
0.41982668,3.167312595,,,,,,
0.36956165,3.190650901,,,,,,
0.350492175,3.21771368,,,,,,
0.344420454,3.212391102,,,,,,
0.342893372,3.240228133,,,,,,
0.365701608,3.362255248,,,,,,
0.454400507,3.522402028,,,,,,
0.590281798,3.764296907,,,,,,
0.568443378,3.547711042,,,,,,
0.501197835,3.500804608,,,,,,
0.517544048,3.886969645,,,,,,
0.504360747,3.286436012,,,,,,
0.489319176,3.030528673,,,,,,
0.472418388,2.842811359,,,,,,
0.46966407,2.733307635,,,,,,
0.496266647,2.644498443,,,,,,
0.604728629,2.612289646,,,,,,
0.824932275,3.108788802,,,,,,
0.929322972,2.587328501,,,,,,
0.90763781,2.437259213,,,,,,
0.847548148,2.462991281,,,,,,
0.784580072,2.571871878,,,,,,
0.660689731,2.751074325,,,,,,
0.539208125,2.95644601,,,,,,
0.420818438,3.192459317,,,,,,
0.378550091,3.418116199,,,,,,
0.366669971,3.627115668,,,,,,
0.368043502,3.810199971,,,,,,
0.370678636,3.943424415,,,,,,
0.395570006,4.118234053,,,,,,
0.48515725,4.301034601,,,,,,
0.627239367,4.699887212,,,,,,
0.601538462,4.38557438,,,,,,
0.53144743,4.266633288,,,,,,
0.553275953,4.791429835,,,,,,
0.528749492,3.903845481,,,,,,
0.502766748,3.371047261,,,,,,
0.479963947,3.034007046,,,,,,
0.482281605,3.052778196,,,,,,
0.517653078,3.185837382,,,,,,
0.629246296,3.232847672,,,,,,
0.858342877,3.954393757,,,,,,
0.958961103,3.337504428,,,,,,
0.935640764,3.146083601,,,,,,
0.87392023,3.130547962,,,,,,
0.809240019,3.196059888,,,,,,
0.682140776,3.294050908,,,,,,
0.557679475,3.423970652,,,,,,
0.435520035,3.564532687,,,,,,
0.389589161,3.69750535,,,,,,
0.37374681,3.806213574,,,,,,
0.37094643,3.883670035,,,,,,
0.37280043,3.997126744,,,,,,
0.398302415,4.187476452,,,,,,
0.506471766,4.84058835,,,,,,
0.636571464,4.936249086,,,,,,
0.607474294,4.535956159,,,,,,
0.526372756,4.138498106,,,,,,
0.542060893,4.507882594,,,,,,
0.519471013,3.669258289,,,,,,
0.498335461,3.259069857,,,,,,
0.483987777,3.13595037,,,,,,
0.484743545,3.115178953,,,,,,
0.515909021,3.141785779,,,,,,
0.626579905,3.165536387,,,,,,
0.857088199,3.92282209,,,,,,
0.957988406,3.313098387,,,,,,
0.934181775,3.109380448,,,,,,
0.872155981,3.086104278,,,,,,
0.806776308,3.133901975,,,,,,
0.679088472,3.216947115,,,,,,
0.553332069,3.314055563,,,,,,
0.432889407,3.42779908,,,,,,
0.385120346,3.541661435,,,,,,
0.368397295,3.64289337,,,,,,
0.365297377,3.7280263,,,,,,
0.366652522,3.817056269,,,,,,
0.390861487,3.971927496,,,,,,
0.482649534,4.160454865,,,,,,
0.62810939,4.528969922,,,,,,
0.608408959,4.233519397,,,,,,
0.544294067,4.109193738,,,,,,
0.571781882,4.697937106,,,,,,
0.553546294,3.941921542,,,,,,
0.532594479,3.58708534,,,,,,
0.510135099,3.304675508,,,,,,
0.50412803,3.163487065,,,,,,
0.531226434,3.111950245,,,,,,
0.637024402,3.032525637,,,,,,
0.83031735,2.862072853,,,,,,
0.970168151,3.262916899,,,,,,
0.931272069,2.684491322,,,,,,
0.86287627,2.48980994,,,,,,
0.792718345,2.398341668,,,,,,
0.65847704,2.393126145,,,,,,
0.525392905,2.443945625,,,,,,
0.397169835,2.523967538,,,,,,
0.34922523,2.633348142,,,,,,
0.332540565,2.735534147,,,,,,
0.329812859,2.830080165,,,,,,
0.331787341,2.934794296,,,,,,
0.357249889,3.121458581,,,,,,
0.450644261,3.350775262,,,,,,
0.595162149,3.695502817,,,,,,
0.578969555,3.488815661,,,,,,
0.515075806,3.37000751,,,,,,
0.543086354,3.972040434,,,,,,
0.532698007,3.414416382,,,,,,
0.52071007,3.286493975,,,,,,
0.502907284,3.121913441,,,,,,
0.498640497,3.024748885,,,,,,
0.52729814,3.012691894,,,,,,
0.637408516,3.04244257,,,,,,
0.865761399,3.759152237,,,,,,
0.969079058,3.235629857,,,,,,
0.945359047,3.041281526,,,,,,
0.882267143,2.980710533,,,,,,
0.817059877,3.014467718,,,,,,
0.684435719,3.050141751,,,,,,
0.552929274,3.14083961,,,,,,
0.422404461,3.232786357,,,,,,
0.378115918,3.407247555,,,,,,
0.36581053,3.605432606,,,,,,
0.36751953,3.797010007,,,,,,
0.371184034,3.956328287,,,,,,
0.396997993,4.154802283,,,,,,
0.487887638,4.371061367,,,,,,
0.628842957,4.741572169,,,,,,
0.599694918,4.339996681,,,,,,
0.519137875,3.956164738,,,,,,
0.537790462,4.40043826,,,,,,
0.515583312,3.571402891,,,,,,
0.497336014,3.234222218,,,,,,
0.4812298,3.066549709,,,,,,
0.480063993,2.997107736,,,,,,
0.50971392,2.985412193,,,,,,
0.61949006,2.986555197,,,,,,
0.84750688,3.680921006,,,,,,
0.950208974,3.116928713,,,,,,
0.927396093,2.938328767,,,,,,
0.864482911,2.89251915,,,,,,
0.798572478,2.926818972,,,,,,
0.669384203,2.971778997,,,,,,
0.542887226,3.050015142,,,,,,
0.418927632,3.144843529,,,,,,
0.371602649,3.242462926,,,,,,
0.355310372,3.339744914,,,,,,
0.352900299,3.427068618,,,,,,
0.354683028,3.538776025,,,,,,
0.378667263,3.690989636,,,,,,
0.467884474,3.865061649,,,,,,
0.606323594,4.171928053,,,,,,
0.584991736,3.968124215,,,,,,
0.519550925,3.966709484,,,,,,
0.542300818,4.514714344,,,,,,
0.528364017,3.894882164,,,,,,
0.515107633,3.684037572,,,,,,
0.497642019,3.481967303,,,,,,
0.496443889,3.411705122,,,,,,
0.528196198,3.45322247,,,,,,
0.639142108,3.48394058,,,,,,
0.83495639,3.363503642,,,,,,
0.976016616,3.770112086,,,,,,
0.93548789,3.143185203,,,,,,
0.864994317,2.90563974,,,,,,
0.792057314,2.762142951,,,,,,
0.66102824,2.76046602,,,,,,
0.532196144,2.779554121,,,,,,
0.408155217,2.872252449,,,,,,
0.363462554,3.036452002,,,,,,
0.350566217,3.219709172,,,,,,
0.35212641,3.407507807,,,,,,
0.355905052,3.56975351,,,,,,
0.381730815,3.768656129,,,,,,
0.472270363,3.976299281,,,,,,
0.614426475,4.377269945,,,,,,
0.588543447,4.058310429,,,,,,
0.511639722,3.766860152,,,,,,
0.537176951,4.38535069,,,,,,
0.514897567,3.554376927,,,,,,
0.506096061,3.456190774,,,,,,
0.490317786,3.296744151,,,,,,
0.491230602,3.279912826,,,,,,
0.520769993,3.265445949,,,,,,
0.634419563,3.364614341,,,,,,
0.866830853,4.170220973,,,,,,
0.96812877,3.570710116,,,,,,
0.945309617,3.391998352,,,,,,
0.883705474,3.37930507,,,,,,
0.818609156,3.434161123,,,,,,
0.691728543,3.5374454,,,,,,
0.56660101,3.65025663,,,,,,
0.444867261,3.80131733,,,,,,
0.398165475,3.914670566,,,,,,
0.382479224,4.02729261,,,,,,
0.380690863,4.130379124,,,,,,
0.384662618,4.297521277,,,,,,
0.409282935,4.465968956,,,,,,
0.518263031,5.140368586,,,,,,
0.647731924,5.220284612,,,,,,
0.610496283,4.614053386,,,,,,
0.520214233,3.984071432,,,,,,
0.543766051,4.552220247,,,,,,
0.5212316,3.714817507,,,,,,
0.503603468,3.393244396,,,,,,
0.479548395,3.024397405,,,,,,
0.483011021,3.072058101,,,,,,
0.517085934,3.172321491,,,,,,
0.631216423,3.283691908,,,,,,
0.869511739,4.238199636,,,,,,
0.974102303,3.722119274,,,,,,
0.95392694,3.61025477,,,,,,
0.895109233,3.668030387,,,,,,
0.833290215,3.805807919,,,,,,
0.708033303,3.950147657,,,,,,
0.584923371,4.113982199,,,,,,
0.463587924,4.275095426,,,,,,
0.41704101,4.392353586,,,,,,
0.399420387,4.456030407,,,,,,
0.394041529,4.468246683,,,,,,
0.393090248,4.510823362,,,,,,
0.414952589,4.609539883,,,,,,
0.502582612,4.743809276,,,,,,
0.643527805,5.114179207,,,,,,
0.614858154,4.724664803,,,,,,
0.543243182,4.566988635,,,,,,
0.568133186,5.16896761,,,,,,
0.546201892,4.346787205,,,,,,
0.525912571,3.957866268,,,,,,
0.505582709,3.683260939,,,,,,
0.500539789,3.515666057,,,,,,
0.528352553,3.457500249,,,,,,
0.634964808,3.378630114,,,,,,
0.862136671,4.051740252,,,,,,
0.960623138,3.381141444,,,,,,
0.934831253,3.127211398,,,,,,
0.8706577,3.049466432,,,,,,
0.803144699,3.043130314,,,,,,
0.673342378,3.072410571,,,,,,
0.546498492,3.141715556,,,,,,
0.424823703,3.224007766,,,,,,
0.372297961,3.217380831,,,,,,
0.350122547,3.180622908,,,,,,
0.340370752,3.097452919,,,,,,
0.33682833,3.062650597,,,,,,
0.357917247,3.138999432,,,,,,
0.446152321,3.238526279,,,,,,
0.581953467,3.362919891,,,,,,
0.564842982,3.132971646,,,,,,
0.503183768,3.070576227,,,,,,
0.520072384,3.390917661,,,,,,
0.509535564,2.829461927,,,,,,
0.493522916,2.599457111,,,,,,
0.476345644,2.450594091,,,,,,
0.473120737,2.3797153,,,,,,
